2025-04-21 23:50:04.572 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, 'xpath', '/html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]'), kwargs={}
2025-04-21 23:50:04.579 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: /html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]
2025-04-21 23:50:04.580 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.008秒
2025-04-21 23:50:04.580 | ERROR    | common.selenium.selenium_service_normal:click:356 | 未找到元素: /html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]
2025-04-21 23:50:04.580 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.008秒
2025-04-21 23:50:05.581 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:05.581 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, 'id', 'desktop-login-policy'), kwargs={}
2025-04-21 23:50:05.582 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:05.582 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD6AE10>, 'id', 'desktop-login-policy'), kwargs={}
2025-04-21 23:50:05.589 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: desktop-login-policy
2025-04-21 23:50:05.589 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.007秒
2025-04-21 23:50:05.590 | ERROR    | common.selenium.selenium_service_normal:click:356 | 未找到元素: desktop-login-policy
2025-04-21 23:50:05.590 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.008秒
2025-04-21 23:50:06.590 | INFO     | common.selenium.selenium_service_normal:screen_page:328 | 截图保存路径: ./resource/screenshot/screenshot_20250421235006.png
2025-04-21 23:50:06.775 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: start_browser
2025-04-21 23:50:06.775 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, SeleniumConfig(is_headless=False, is_cdp=True, is_dev=True, proxy='127.0.0.1:7890', driver=None)), kwargs={}
2025-04-21 23:50:06.775 | INFO     | common.selenium.selenium_service_normal:start_browser:48 | 启动CDP模式
2025-04-21 23:50:06.776 | INFO     | common.selenium.selenium_service_normal:start_browser:53 | 设置代理: 127.0.0.1:7890
2025-04-21 23:50:14.662 | DEBUG    | common.selenium.selenium_service_normal:start_browser:68 | 使用User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.2805.740 Safari/537.36 OPR/73.0.4287.579
2025-04-21 23:50:15.720 | INFO     | common.selenium.selenium_service_normal:start_browser:83 | 浏览器启动成功
2025-04-21 23:50:15.721 | INFO     | common.log.logger:wrapper:109 | 函数 start_browser 执行成功，耗时: 8.947秒
2025-04-21 23:50:17.393 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:17.393 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'xpath', '//*[@id="left-menu"]/div/div[1]/div[2]/button'), kwargs={}
2025-04-21 23:50:17.393 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:17.393 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'xpath', '//*[@id="left-menu"]/div/div[1]/div[2]/button'), kwargs={}
2025-04-21 23:50:17.402 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.009秒
2025-04-21 23:50:17.471 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.078秒
2025-04-21 23:50:18.472 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:18.472 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'xpath', '/html/body/div[16]/div[3]/div[2]/div/div[2]/div[2]/button'), kwargs={}
2025-04-21 23:50:18.472 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:18.473 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'xpath', '/html/body/div[16]/div[3]/div[2]/div/div[2]/div[2]/button'), kwargs={}
2025-04-21 23:50:18.484 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: /html/body/div[16]/div[3]/div[2]/div/div[2]/div[2]/button
2025-04-21 23:50:18.484 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.011秒
2025-04-21 23:50:18.484 | ERROR    | common.selenium.selenium_service_normal:click:356 | 未找到元素: /html/body/div[16]/div[3]/div[2]/div/div[2]/div[2]/button
2025-04-21 23:50:18.484 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.012秒
2025-04-21 23:50:19.486 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:50:19.486 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'id', 'desktop-login-account'), kwargs={'input_content': ''}
2025-04-21 23:50:19.486 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:19.486 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'id', 'desktop-login-account'), kwargs={}
2025-04-21 23:50:19.493 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: desktop-login-account
2025-04-21 23:50:19.494 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.008秒
2025-04-21 23:50:19.494 | ERROR    | common.selenium.selenium_service_normal:send_keys:226 | 未找到元素: desktop-login-account
2025-04-21 23:50:19.494 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.008秒
2025-04-21 23:50:20.495 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: send_keys
2025-04-21 23:50:20.495 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'id', 'desktop-login-pwd'), kwargs={'input_content': 'test_password'}
2025-04-21 23:50:20.495 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:20.495 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'id', 'desktop-login-pwd'), kwargs={}
2025-04-21 23:50:20.502 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: desktop-login-pwd
2025-04-21 23:50:20.503 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.007秒
2025-04-21 23:50:20.503 | ERROR    | common.selenium.selenium_service_normal:send_keys:226 | 未找到元素: desktop-login-pwd
2025-04-21 23:50:20.503 | INFO     | common.log.logger:wrapper:109 | 函数 send_keys 执行成功，耗时: 0.008秒
2025-04-21 23:50:21.504 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:21.504 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'xpath', '/html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]'), kwargs={}
2025-04-21 23:50:21.504 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:21.504 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'xpath', '/html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]'), kwargs={}
2025-04-21 23:50:21.511 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: /html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]
2025-04-21 23:50:21.512 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.008秒
2025-04-21 23:50:21.512 | ERROR    | common.selenium.selenium_service_normal:click:356 | 未找到元素: /html/body/div[16]/div[3]/div[2]/form/div/div[1]/button[1]
2025-04-21 23:50:21.512 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.008秒
2025-04-21 23:50:22.514 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: click
2025-04-21 23:50:22.514 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'id', 'desktop-login-policy'), kwargs={}
2025-04-21 23:50:22.514 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: find_element
2025-04-21 23:50:22.514 | INFO     | common.log.logger:wrapper:104 | 参数: args=(<common.selenium.selenium_service_normal.SeleniumServiceNormal object at 0x0000012C2AD8B410>, 'id', 'desktop-login-policy'), kwargs={}
2025-04-21 23:50:22.521 | ERROR    | common.selenium.selenium_service_normal:find_element:206 | 未找到匹配的元素: desktop-login-policy
2025-04-21 23:50:22.521 | INFO     | common.log.logger:wrapper:109 | 函数 find_element 执行成功，耗时: 0.007秒
2025-04-21 23:50:22.522 | ERROR    | common.selenium.selenium_service_normal:click:356 | 未找到元素: desktop-login-policy
2025-04-21 23:50:22.522 | INFO     | common.log.logger:wrapper:109 | 函数 click 执行成功，耗时: 0.008秒
2025-04-21 23:50:23.523 | INFO     | common.selenium.selenium_service_normal:screen_page:328 | 截图保存路径: ./resource/screenshot/screenshot_20250421235023.png
2025-04-21 23:53:38.271 | INFO     | common.log.logger:wrapper:103 | 开始执行函数: start_browser
